"statepuma","stab","pumaname","dem12","rep12","dem16","rep16","propR12","propR16","changeinR","changeinpropR"
"5502400","WI","Rock County",49219,30517,39343,31488,0.382725494130631,0.444551114624952,971,0.0618256204943213
"5502500","WI","Sheboygan County",27918,34072,22956,32458,0.549637038231973,0.585736456491139,-1614,0.0360994182591665
"5510000","WI","Kenosha County",44867,34977,35771,36025,0.438066730123741,0.501768900774416,1048,0.0637021706506751
"5530000","WI","Racine County",53008,49347,42512,46611,0.482116164330028,0.52299630847256,-2736,0.0408801441425325
"5540101","WI","Milwaukee County (Northeast)",332438,154924,288797,125846,0.317882805799385,0.30350446046358,-29078,-0.0143783453358057
"5540301","WI","Milwaukee County (South)",332438,154924,288797,125846,0.317882805799385,0.30350446046358,-29078,-0.0143783453358057
"5540701","WI","Milwaukee County (West)",332438,154924,288797,125846,0.317882805799385,0.30350446046358,-29078,-0.0143783453358057
"5541001","WI","Milwaukee City (North)",332438,154924,288797,125846,0.317882805799385,0.30350446046358,-29078,-0.0143783453358057
"5541002","WI","Milwaukee City (North Central)",332438,154924,288797,125846,0.317882805799385,0.30350446046358,-29078,-0.0143783453358057
"5541003","WI","Milwaukee City (Central)",332438,154924,288797,125846,0.317882805799385,0.30350446046358,-29078,-0.0143783453358057
"5541004","WI","Milwaukee City (South Central)",332438,154924,288797,125846,0.317882805799385,0.30350446046358,-29078,-0.0143783453358057
"5541005","WI","Milwaukee City (South)",332438,154924,288797,125846,0.317882805799385,0.30350446046358,-29078,-0.0143783453358057
"5550000","WI","Walworth County",22552,29006,18706,28851,0.562589704798479,0.606661479908321,-155,0.0440717751098412
"5570101","WI","Waukesha County (West)",78779,162798,79200,142521,0.67389693555264,0.642794322594612,-20277,-0.0311026129580274
"5570201","WI","Waukesha County (East)",78779,162798,79200,142521,0.67389693555264,0.642794322594612,-20277,-0.0311026129580274
"5570301","WI","Waukesha County (Central)",78779,162798,79200,142521,0.67389693555264,0.642794322594612,-20277,-0.0311026129580274
"2201000","LA","Acadiana Regional Development District 1--St. Landry & Evangeline Parishes",24998,31656,21417,32331,0.558760193455008,0.601529359231971,675,0.0427691657769638
"2201100","LA","Acadiana Regional Development District 2--Acadia & Vermilion Parishes",12280,38841,10495,41225,0.759785606697835,0.797080433101315,2384,0.0372948264034803
"2201300","LA","Acadiana Regional Development District 5--Iberia, St. Mary & St. Martin Parishes",31004,50430,27014,52135,0.619274504506717,0.658694361267988,1705,0.0394198567612711
